,emit,attract,distance,y
335,4.3225419878389895,1.7011051009599243,6.897276865602699,0.09531017980432493
420,2.444084655267745,5.495691725968284,8.122386896111298,1.297463147413275
490,3.617383452408866,5.495691725968284,6.306995086744493,2.3850863145057892
491,3.617383452408866,4.88022284203973,8.650980203222861,0.27763173659827955
492,3.617383452408866,4.45457982735559,8.700288618617106,0.3920420877760237
493,3.617383452408866,4.323602714536165,8.706241745621266,0.3220834991691132
494,3.617383452408866,4.040943785494986,8.866327461347758,0.47000362924573563
495,3.617383452408866,4.086648355587631,8.725922812479128,0.11332868530700327
496,3.617383452408866,4.090336540824562,8.091716111346921,0.47000362924573563
511,3.617383452408866,2.9601050959108397,8.65361131917042,0.5877866649021191
512,3.617383452408866,2.866761892257031,9.101652604058291,1.5686159179138452
529,3.617383452408866,2.201659174404085,9.063259789742943,0.4824261492442928
548,3.617383452408866,1.5769147207285403,9.11112758690459,0.5423242908253617
630,3.3541057741283047,5.495691725968284,8.676936073993232,0.8415671856782185
638,3.3541057741283047,3.722797672317397,9.138132726470937,0.6626879730752367
641,3.3541057741283047,3.3734835430946397,9.125344965812511,0.7227059828014898
643,3.3541057741283047,3.221272949467922,9.230290334465794,1.6752256529721035
644,3.3541057741283047,3.1970391302590264,9.260100118032478,1.430311246536665
647,3.3541057741283047,3.109060958860994,9.720652543635698,0.47000362924573563
649,3.3541057741283047,3.0763901765714454,9.249492911231158,0.0769610411361284
661,3.3541057741283047,2.6188546222977394,9.056394309885162,0.23111172096338664
700,3.6179203651734424,5.495691725968284,8.948236000491397,2.130609828254235
711,3.6179203651734424,3.3734835430946397,9.705644636817553,1.269760544863939
712,3.6179203651734424,3.2950958507796098,9.657873323212836,0.62057648772511
713,3.6179203651734424,3.221272949467922,9.676626589948683,0.14842000511827322
714,3.6179203651734424,3.1970391302590264,9.680382330565465,0.0
719,3.6179203651734424,3.0763901765714454,9.819914540260246,0.5068176023684519
726,3.6179203651734424,2.6658383522929006,9.776466617245772,0.36464311358790924
728,3.6179203651734424,2.67000213346468,9.801439145611868,0.36464311358790924
731,3.6179203651734424,2.6188546222977394,9.8181750512419,1.1817271953786161
736,3.6179203651734424,2.3263016196113617,9.842742244726495,1.3506671834767394
770,1.998773638612381,5.495691725968284,9.542761514991604,0.9242589015233319
