time,flopop,patient,confirmation,index
9.0,137478062.20095694,17.0,8.0,15
10.0,139143086.12440193,2.0,10.0,15
11.0,139957440.19138756,1.0,5.0,15
12.0,136057918.66028708,0.0,2.0,15
13.0,141335645.93301436,0.0,0.0,15
14.0,135742224.88038278,0.0,0.0,15
15.0,135303516.7464115,6.0,1.0,15
16.0,143117559.80861244,3.0,1.0,15
17.0,142609258.37320575,2.0,2.0,15
18.0,135033086.12440193,6.0,0.0,15
0.0,85500382.77511962,0.0,0.0,16
1.0,85744497.60765551,3.0,0.0,16
2.0,87979330.14354068,0.0,1.0,16
3.0,87289952.15311006,3.0,0.0,16
4.0,86503157.89473684,3.0,1.0,16
5.0,100504162.67942585,4.0,2.0,16
6.0,87509401.91387561,16.0,0.0,16
7.0,84439832.53588517,15.0,2.0,16
8.0,87346172.24880384,0.0,4.0,16
9.0,87208397.12918662,3.0,3.0,16
10.0,87634545.45454545,0.0,5.0,16
11.0,87776291.86602871,0.0,0.0,16
12.0,87473708.1339713,0.0,1.0,16
13.0,87461794.25837322,0.0,0.0,16
14.0,85426674.64114833,0.0,1.0,16
15.0,86135574.16267943,14.0,1.0,16
16.0,87070885.16746412,8.0,2.0,16
17.0,86519521.53110048,1.0,0.0,16
18.0,82188660.28708135,3.0,5.0,16
0.0,83064832.53588517,0.0,0.0,17
1.0,83230693.7799043,0.0,0.0,17
2.0,82054593.30143541,0.0,0.0,17
3.0,80990071.77033493,0.0,0.0,17
4.0,81419593.30143541,0.0,0.0,17
5.0,96224114.8325359,6.0,0.0,17
6.0,83251842.10526316,0.0,4.0,17
7.0,79899019.13875599,0.0,1.0,17
8.0,81750909.0909091,0.0,0.0,17
9.0,81502607.6555024,6.0,0.0,17
10.0,82119856.45933016,8.0,0.0,17
11.0,82401650.71770336,2.0,0.0,17
12.0,83181650.71770336,4.0,0.0,17
13.0,81894712.9186603,1.0,0.0,17
14.0,81339234.44976076,0.0,0.0,17
15.0,82666339.71291867,9.0,0.0,17
16.0,82009497.60765551,3.0,3.0,17
17.0,81312177.03349283,4.0,2.0,17
18.0,76831267.94258374,29.0,4.0,17
0.0,70971052.63157895,0.0,0.0,18
1.0,71688779.90430622,0.0,0.0,18
2.0,73896363.63636364,0.0,0.0,18
3.0,74220095.69377992,1.0,0.0,18
4.0,73494976.07655503,0.0,0.0,18
5.0,82883205.7416268,2.0,0.0,18
6.0,72402583.73205742,3.0,1.0,18
7.0,69660669.85645933,8.0,1.0,18
8.0,71642751.19617225,7.0,3.0,18
9.0,71595885.16746412,14.0,3.0,18
10.0,72083755.98086125,8.0,7.0,18
11.0,72247631.57894738,0.0,2.0,18
12.0,71314114.8325359,0.0,1.0,18
13.0,72571339.71291867,0.0,0.0,18
14.0,71262320.57416268,1.0,1.0,18
15.0,71207942.58373207,2.0,8.0,18
16.0,71800550.23923445,0.0,7.0,18
17.0,71433086.12440191,1.0,4.0,18
18.0,68159952.15311006,7.0,0.0,18
0.0,135071267.94258374,0.0,0.0,19
1.0,137320861.24401915,0.0,0.0,19
2.0,137286602.8708134,0.0,0.0,19
3.0,135847559.80861244,0.0,0.0,19
4.0,135579760.76555026,2.0,0.0,19
5.0,159572751.19617227,9.0,8.0,19
6.0,138114736.84210527,10.0,0.0,19
7.0,132964736.84210527,5.0,6.0,19
8.0,136510789.47368422,2.0,6.0,19
9.0,136302655.50239235,7.0,0.0,19
10.0,137394545.45454547,3.0,2.0,19
11.0,137688803.82775122,0.0,1.0,19
12.0,138994114.8325359,0.0,0.0,19
13.0,136900550.23923445,0.0,0.0,19
14.0,135228468.89952153,0.0,0.0,19
15.0,138417679.42583734,1.0,0.0,19
16.0,137017775.11961722,4.0,4.0,19
17.0,136630598.08612442,1.0,2.0,19
18.0,129246770.33492824,1.0,2.0,19
0.0,109276555.02392346,0.0,0.0,20
1.0,111782440.19138756,1.0,1.0,20
2.0,117371602.8708134,0.0,0.0,20
3.0,117737200.9569378,1.0,0.0,20
4.0,117765837.32057416,3.0,0.0,20
5.0,133616794.25837322,2.0,0.0,20
6.0,116459019.13875599,12.0,0.0,20
7.0,112323038.27751197,8.0,7.0,20
8.0,115843253.58851676,6.0,5.0,20
9.0,116086363.63636364,6.0,1.0,20
10.0,116940406.6985646,7.0,5.0,20
11.0,117319114.8325359,0.0,3.0,20
12.0,116629545.45454547,1.0,0.0,20
13.0,117588229.66507179,0.0,2.0,20
14.0,114902990.43062201,0.0,0.0,20
15.0,115487081.33971293,5.0,0.0,20
16.0,117193038.27751197,0.0,0.0,20
17.0,116464928.22966509,4.0,0.0,20
18.0,110426267.94258374,5.0,3.0,20
0.0,113590191.38755982,1.0,0.0,21
1.0,114239593.30143541,6.0,1.0,21
2.0,115679330.14354068,3.0,1.0,21
3.0,114684545.45454547,2.0,0.0,21
4.0,114665263.15789475,0.0,0.0,21
5.0,135721770.33492824,0.0,0.0,21
6.0,118059114.8325359,3.0,4.0,21
7.0,113452990.43062201,3.0,3.0,21
8.0,116557799.04306221,1.0,3.0,21
9.0,116331985.64593302,13.0,3.0,21
10.0,117078038.27751197,1.0,1.0,21
11.0,117238301.4354067,0.0,5.0,21
12.0,117709354.06698565,3.0,2.0,21
13.0,116226124.40191388,0.0,0.0,21
14.0,114329641.14832537,0.0,1.0,21
15.0,116819880.38277513,0.0,2.0,21
16.0,117032416.26794259,2.0,1.0,21
17.0,116482559.80861245,3.0,1.0,21
18.0,110531818.18181819,3.0,1.0,21
0.0,94528421.05263159,0.0,0.0,22
1.0,96234401.91387561,0.0,0.0,22
2.0,98344760.76555024,0.0,0.0,22
3.0,97595119.61722489,0.0,0.0,22
4.0,97797392.34449762,7.0,0.0,22
5.0,114386387.55980863,7.0,1.0,22
6.0,98827153.11004785,0.0,1.0,22
7.0,95658181.81818183,1.0,0.0,22
8.0,98828014.354067,0.0,2.0,22
9.0,98583229.66507177,5.0,0.0,22
10.0,98867799.04306221,0.0,3.0,22
11.0,98826315.7894737,1.0,1.0,22
12.0,99269856.45933016,0.0,0.0,22
13.0,98015813.3971292,0.0,0.0,22
14.0,96752248.80382776,0.0,0.0,22
15.0,98583755.98086125,1.0,2.0,22
16.0,98387392.34449762,0.0,2.0,22
17.0,98046937.79904307,1.0,1.0,22
18.0,92531124.40191388,0.0,1.0,22
0.0,84466196.17224881,0.0,0.0,23
1.0,84239401.91387561,0.0,0.0,23
2.0,80961722.48803829,0.0,0.0,23
3.0,79364521.53110048,0.0,0.0,23
4.0,79701985.64593302,2.0,0.0,23
5.0,96458612.44019139,5.0,0.0,23
6.0,84585023.92344499,6.0,1.0,23
7.0,81461148.32535885,3.0,1.0,23
8.0,83357153.11004785,1.0,0.0,23
9.0,82833588.51674642,3.0,3.0,23
10.0,83152368.42105263,5.0,2.0,23
11.0,83034976.07655503,1.0,1.0,23
12.0,83901531.10047847,0.0,1.0,23
13.0,82606507.1770335,0.0,0.0,23
14.0,82023325.35885169,0.0,0.0,23
15.0,83801459.33014354,2.0,1.0,23
16.0,82586889.95215312,1.0,4.0,23
17.0,82114641.14832537,1.0,2.0,23
18.0,77554952.15311006,0.0,3.0,23
0.0,112715478.46889953,0.0,0.0,24
1.0,114915693.77990432,0.0,0.0,24
2.0,114739545.45454547,0.0,0.0,24
3.0,113935526.31578948,0.0,0.0,24
4.0,114198253.58851676,3.0,1.0,24
5.0,134379234.44976076,0.0,3.0,24
6.0,116388133.97129187,2.0,0.0,24
7.0,112142344.49760766,3.0,1.0,24
8.0,115354856.45933016,0.0,2.0,24
9.0,114942966.50717704,12.0,2.0,24
10.0,115004401.91387561,6.0,3.0,24
11.0,114921411.4832536,1.0,1.0,24
12.0,115241459.33014354,0.0,0.0,24
13.0,114469569.37799044,0.0,0.0,24
14.0,112329617.2248804,1.0,0.0,24
15.0,114696818.18181819,5.0,2.0,24
16.0,114663110.0478469,1.0,4.0,24
17.0,114005334.92822967,1.0,3.0,24
18.0,107765622.00956939,4.0,2.0,24
